Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered,Lat,Long_,Active,Combined_Key
Qinghai,China,2020-01-27,6,0,0,-19.015438,29.154857,6,"Qinghai, China"
Taiwan,Taiwan,2020-01-27,5,0,0,-19.015438,29.154857,5,"Taiwan, Taiwan"
Xinjiang,China,2020-01-27,5,0,0,-19.015438,29.154857,5,"Xinjiang, China"
Washington,US,2020-01-27,1,0,0,-19.015438,29.154857,1,"Washington, US"
Illinois,US,2020-01-27,1,0,0,-19.015438,29.154857,1,"Illinois, US"
California,US,2020-01-27,2,0,0,-19.015438,29.154857,2,"California, US"
Arizona,US,2020-01-27,1,0,0,-19.015438,29.154857,1,"Arizona, US"
 ,Japan,2020-01-27,4,0,1,-19.015438,29.154857,3," , Japan"
 ,Thailand,2020-01-27,8,0,2,-19.015438,29.154857,6," , Thailand"
 ,South Korea,2020-01-27,4,0,0,-19.015438,29.154857,4," , South Korea"
 ,Singapore,2020-01-27,5,0,0,-19.015438,29.154857,5," , Singapore"
 ,Vietnam,2020-01-27,2,0,0,-19.015438,29.154857,2," , Vietnam"
 ,France,2020-01-27,3,0,0,-19.015438,29.154857,3," , France"
 ,Nepal,2020-01-27,1,0,0,-19.015438,29.154857,1," , Nepal"
 ,Malaysia,2020-01-27,4,0,0,-19.015438,29.154857,4," , Malaysia"
Ontario,Canada,2020-01-27,1,0,0,-19.015438,29.154857,1,"Ontario, Canada"
 ,Cambodia,2020-01-27,1,0,0,-19.015438,29.154857,1," , Cambodia"
 ,Sri Lanka,2020-01-27,1,0,0,-19.015438,29.154857,1," , Sri Lanka"
 ,Ivory Coast,2020-01-27,1,0,0,-19.015438,29.154857,1," , Ivory Coast"
New South Wales,Australia,2020-01-27,4,0,0,-19.015438,29.154857,4,"New South Wales, Australia"
Victoria,Australia,2020-01-27,1,0,0,-19.015438,29.154857,1,"Victoria, Australia"
Hubei,China,2020-01-28,3554,125,80,-19.015438,29.154857,3349,"Hubei, China"
Guangdong,China,2020-01-28,207,0,4,-19.015438,29.154857,203,"Guangdong, China"
Zhejiang,China,2020-01-28,173,0,3,-19.015438,29.154857,170,"Zhejiang, China"
Henan,China,2020-01-28,168,1,0,-19.015438,29.154857,167,"Henan, China"
